0,343
0,292
0,209
0,247
0,238
0,239
0,368
0,177
0,309
0,151
0,537
0,405
1,192
1,358
1,135
1,585
1,142
1,405
1,283
2,260
2,295
2,363
2,238
2,228
2,126
3,368
3,179
3,188
3,174
4,225
4,386
4,131
4,36
4,517
4,227
4,277
4,598
4,58
4,475
4,189
4,373
5,361
5,557
5,391
6,240
6,259
6,453
6,134
6,471
7,323
7,117
7,382
7,85
8,164
8,273
8,437
8,567
8,280
8,379
9,576
9,133
9,76
9,45
9,142
9,77
9,82
9,409
9,189
10,19
10,545
10,71
10,92
10,431
10,273
10,371
10,52
10,57
10,476
11,65
11,201
11,107
11,141
11,528
11,279
11,507
12,322
12,69
12,518
12,327
12,491
12,239
12,530
12,383
12,61
12,37
13,96
13,353
13,220
13,401
13,247
14,392
14,340
14,573
14,391
15,193
15,387
15,390
15,102
15,233
15,598
15,357
16,472
16,384
16,178
16,443
16,196
17,256
17,379
17,104
17,79
17,303
17,88
17,143
17,479
18,104
18,473
18,429
18,342
18,359
19,320
19,579
19,359
19,28
19,401
19,340
19,568
19,155
19,220
20,130
20,291
20,228
20,390
20,550
20,430
20,468
20,118
20,23
20,152
21,482
21,484
21,531
21,182
21,542
21,159
22,36
22,556
22,403
22,151
22,152
22,90
22,411
22,287
23,450
23,174
23,144
23,594
23,94
23,282
23,156
23,478
24,104
24,268
24,141
24,563
24,407
24,89
24,511
25,259
25,60
25,461
26,584
26,109
26,147
26,414
26,315
26,126
27,58
27,331
27,479
28,448
28,310
28,114
28,533
28,470
28,568
28,190
29,66
29,451
29,42
29,500
29,118
29,407
29,155
29,540
30,396
30,209
30,435
30,277
30,342
30,63
31,320
31,580
31,37
31,169
31,183
31,76
31,568
31,375
31,472
31,218
31,351
32,299
32,371
32,589
32,158
33,291
33,518
33,38
33,39
33,104
33,461
33,527
33,592
33,520
33,309
33,281
33,90
33,252
34,136
34,462
34,527
34,432
34,174
34,152
35,384
35,385
35,547
35,36
35,344
35,377
35,250
35,382
36,100
36,54
36,554
36,302
36,560
36,529
36,180
36,196
36,581
37,210
37,565
37,344
37,347
38,477
38,71
39,320
39,457
39,456
39,585
39,204
39,224
39,430
39,268
39,343
39,539
40,70
40,583
40,46
40,594
40,474
40,415
41,512
41,281
42,132
42,551
42,207
42,112
42,292
42,124
42,541
43,353
43,346
43,539
43,348
43,150
44,523
44,151
44,398
44,339
44,596
44,375
44,119
44,348
45,549
45,530
45,275
45,566
45,573
46,196
46,463
46,432
46,340
46,509
47,545
47,474
47,446
47,342
48,178
48,323
48,228
48,573
49,67
49,455
49,522
49,363
49,237
49,206
49,430
49,331
50,73
50,547
50,517
50,189
51,456
51,524
51,109
51,541
51,117
51,438
51,119
51,537
51,157
51,383
52,224
